run_idx,prompt_label,prompt_tokens,n_ctx,mode,n_threads,max_tokens,ttft_s,decode_s,decode_tok_s,total_s,rss_before_mb,rss_after_mb,rss_peak_mb,mem_delta_mb,output_tokens,output_head
1,pt_1024,1024,2048,warm,8,128,0.10259652137756348,4.968910455703735,25.760174416721632,5.071506977081299,1356.296192,1356.324864,1356.324864,0.028671999999914988,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
2,pt_1024,1024,2048,warm,8,128,0.17906427383422852,5.800827264785767,22.065818228553514,5.979891538619995,1356.374016,1356.3904,1356.3904,0.016384000000016385,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
3,pt_1024,1024,2048,warm,8,128,0.09160995483398438,3.598748207092285,35.567923242793746,3.6903581619262695,1356.394496,1357.04576,1357.04576,0.6512640000000829,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
4,pt_1024,1024,2048,warm,8,128,0.08905243873596191,3.608640432357788,35.47042228210259,3.69769287109375,1357.04576,1357.070336,1357.070336,0.024576000000024578,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
5,pt_1024,1024,2048,warm,8,128,0.09099364280700684,3.9859201908111572,32.11303635609204,4.076913833618164,1357.070336,1357.078528,1357.078528,0.008192000000008193,128,"Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain English.

Do not use acronyms. Use plain Engli"
2026-01-06T14:29:30,0,ok,,pt_1024,1024,2048,warm,8,128,128,0.038173675537109375,3.5238215923309326,30.364760870093253,3.561995267868042,1357.98784,1358.147584,1358.147584,0.15974400000004607
2026-01-06T14:29:30,1,ok,,pt_1024,1024,2048,warm,8,128,128,0.03750967979431152,4.186455488204956,30.574790621954776,4.223965167999268,1358.147584,1358.336,1358.336,0.18841599999996106
2026-01-06T14:29:30,2,ok,,pt_1024,1024,2048,warm,8,128,128,0.038515567779541016,2.0038363933563232,31.439692486310335,2.0423519611358643,1358.336,1358.516224,1358.450688,0.18022399999995287
2026-01-06T14:29:30,3,ok,,pt_1024,1024,2048,warm,8,128,128,0.037999629974365234,4.20652437210083,31.142099370406296,4.244524002075195,1358.516224,1358.635008,1358.651392,0.11878400000000511
2026-01-06T14:29:30,4,ok,,pt_1024,1024,2048,warm,8,128,128,0.0376436710357666,6.577210426330566,19.613178177115014,6.614854097366333,1358.635008,1358.737408,1358.737408,0.10239999999998872
